iter	Logloss
309	0.2154100042
310	0.2153465662
311	0.2152637441
312	0.2151725278
313	0.2150952047
314	0.2150176379
315	0.2149404842
316	0.2149026356
317	0.2147919164
318	0.2147403374
319	0.2146509939
320	0.2146049585
321	0.214547655
322	0.2144660233
323	0.2143767391
324	0.2143044786
325	0.2142204277
326	0.2141214356
327	0.2140347876
328	0.2139829346
329	0.2139291914
330	0.2137856794
331	0.2137132061
332	0.2136483681
333	0.213589616
334	0.213509781
335	0.2134597968
336	0.2133801068
337	0.2133287764
338	0.213237561
339	0.2131480084
340	0.2131163252
341	0.2130102933
342	0.2129145074
343	0.2128378566
344	0.2127513422
345	0.2127366245
346	0.2126223999
347	0.2125774995
348	0.2124896008
349	0.2124203877
350	0.2123707639
351	0.2123301637
352	0.2122389699
353	0.2121420049
354	0.2120566205
355	0.2120233775
356	0.2119374834
357	0.2118681936
358	0.2118328104
359	0.2117615346
360	0.2116998971
361	0.2116420228
362	0.2115710558
363	0.2114882944
364	0.2114132283
365	0.2113502254
366	0.2112915344
367	0.2112313475
368	0.2112275237
369	0.2111340604
370	0.2110452656
371	0.2110000264
372	0.2109169853
373	0.2108888065
374	0.2108236929
375	0.210797968
376	0.2107307261
377	0.2106280277
378	0.2105575044
379	0.2105492745
380	0.2105046123
381	0.2104443242
382	0.210386224
383	0.2102794874
384	0.2102039727
385	0.2101084218
386	0.2100108343
387	0.209945575
388	0.2098355135
389	0.2097498234
390	0.2096878578
391	0.2096098029
392	0.2095166147
393	0.2094861277
394	0.2093717263
395	0.2093128288
396	0.2092653184
397	0.2091375223
398	0.2090523077
399	0.208981355
400	0.2089260364
401	0.2088310203
402	0.2087443353
403	0.2087140671
404	0.2086282604
405	0.2085334532
406	0.2084841823
407	0.2083911332
408	0.2083524206
409	0.2082744901
410	0.2082439854
411	0.2081836068
412	0.2081189262
413	0.2080366941
414	0.2079781646
415	0.207918429
416	0.207905379
417	0.2078535179
418	0.2077936081
419	0.2077879993
420	0.2076770936
421	0.2076218805
422	0.2075497666
423	0.2075107658
424	0.2074402767
425	0.207363198
426	0.2072761091
427	0.2072003892
428	0.2071875101
429	0.2070932341
430	0.2070070916
431	0.2069451405
432	0.2069401657
433	0.2068785505
434	0.2068280587
435	0.2067587178
436	0.2067028046
437	0.2065781234
438	0.2065422938
439	0.2064373814
440	0.2063979609
441	0.2063225505
442	0.2062773256
443	0.2062544144
444	0.2061784993
445	0.2061474335
446	0.2060555481
447	0.2060537305
448	0.205989293
449	0.205907533
450	0.2058420868
451	0.2058163543
452	0.2057656895
453	0.205692207
454	0.2056027908
455	0.2055323349
456	0.2054850917
457	0.2054109611
458	0.2053394201
459	0.2052705621
460	0.2051937237
461	0.2051550665
462	0.2051133568
463	0.2050142781
464	0.2050119483
465	0.2049171548
466	0.2048604605
467	0.2048172462
468	0.204750387
469	0.2047047441
470	0.2046452543
471	0.2045878434
472	0.2045146786
473	0.2044626241
474	0.2044611802
475	0.2043654648
476	0.2043233467
477	0.2042664828
478	0.2041947754
479	0.2041263131
480	0.2040819383
481	0.2040298946
482	0.2039219451
483	0.2038340465
484	0.2037600204
485	0.2037043102
486	0.2036399963
487	0.2035947261
488	0.2035378189
489	0.2034628751
490	0.2034098539
491	0.2033513317
492	0.2032861775
493	0.2032362359
494	0.2031916045
495	0.2031648172
496	0.2031439473
497	0.2030736717
498	0.2030186123
499	0.2029633017
500	0.2029060385
501	0.2028455827
502	0.2027831171
503	0.2027223051
504	0.2026608745
505	0.2026595212
506	0.202620159
507	0.2026189714
508	0.2025602987
509	0.2025291574
510	0.2024307179
511	0.2024033414
512	0.2023748853
513	0.2023151593
514	0.2022403677
515	0.2021530237
516	0.2020815997
517	0.2020796749
518	0.2020117445
519	0.2019668643
520	0.2018800341
521	0.2018599344
522	0.2018014802
523	0.2017432009
524	0.2016626989
525	0.2016101612
526	0.2015550503
527	0.201494495
528	0.2014501805
529	0.2013777373
530	0.2013308007
531	0.2012540717
532	0.2012307558
533	0.2011934431
534	0.2011388485
535	0.2010979312
536	0.2010671726
537	0.2009411543
538	0.2008678052
539	0.2008160802
540	0.2007895388
541	0.2007438956
542	0.2006771581
543	0.2006202102
544	0.200594834
545	0.2005356442
546	0.2004510574
547	0.2003954012
548	0.2003234506
549	0.2002624527
550	0.2002113334
551	0.2001511714
552	0.2001153806
553	0.2000571397
554	0.1999834935
555	0.1999431034
556	0.1998664449
557	0.1998040689
558	0.19971941
559	0.1997056001
560	0.1996298132
561	0.1995497891
562	0.1995004697
563	0.1994773688
564	0.1994035407
565	0.1993321499
566	0.1992782049
567	0.1992124063
568	0.1991813999
569	0.1991371625
570	0.1990794876
571	0.1990144271
572	0.1989585725
573	0.198881743
574	0.1988441976
575	0.1988009079
576	0.1987557555
577	0.1986927691
578	0.1986421423
579	0.1985703071
580	0.1985305085
581	0.1984404791
582	0.1983854708
583	0.1983285939
584	0.1982534076
585	0.1981938404
586	0.1981435072
587	0.1980877724
588	0.1980368623
589	0.1979761459
590	0.1979012594
591	0.197854155
592	0.1978339276
593	0.1977872605
594	0.1977286056
595	0.1977189012
596	0.1976653499
597	0.1976272295
598	0.1975543265
599	0.1974949565
600	0.1974540845
601	0.1973912053
602	0.19738581
603	0.1973357924
604	0.1972441627
605	0.197166163
606	0.19711583
607	0.1970546834
608	0.1970132987
609	0.1969485837
610	0.1969304332
611	0.1968651065
612	0.1967755361
613	0.1967002652
614	0.1966325244
615	0.1966089823
616	0.1965878917
617	0.1965498981
618	0.1965022005
619	0.1964246463
620	0.1963850285
621	0.1963700123
622	0.1963100726
623	0.1962909419
624	0.1962423865
625	0.1962062056
626	0.1961207689
627	0.196076426
628	0.1960301214
629	0.1959986903
630	0.195977433
631	0.1959437003
632	0.1959010813
633	0.1958433232
634	0.1957811869
635	0.1957798671
636	0.1957363718
637	0.1956702804
638	0.1956032142
639	0.1955788814
640	0.1955513896
641	0.1954916811
642	0.1954615453
643	0.1954070941
644	0.1953555776
645	0.1953228274
646	0.1952666149
647	0.1952593104
648	0.1952490016
649	0.1952052117
650	0.1951754983
651	0.1951727744
652	0.1951300542
653	0.1950687172
654	0.1950215993
655	0.1949804675
656	0.1949557918
657	0.1949138561
658	0.1948365764
659	0.1947962211
660	0.1947268717
661	0.194717205
662	0.194646621
663	0.1945887637
664	0.194541951
665	0.1944865767
666	0.1944852297
667	0.1944444206
668	0.194364939
669	0.1943117769
670	0.1942662176
671	0.1942086051
672	0.194172338
673	0.1941557454
674	0.1941015051
675	0.1940703107
676	0.1940060625
677	0.1939631803
678	0.1939265217
679	0.1938996901
680	0.1938694945
681	0.1938289004
682	0.1937813654
683	0.1937157372
684	0.1936675718
685	0.1936336244
686	0.1935938028
687	0.1935275909
688	0.1934984361
689	0.1934873493
690	0.1934167965
691	0.1934160508
692	0.193375657
693	0.1933160986
694	0.1932583912
695	0.1932407536
696	0.1931856396
697	0.193138842
698	0.1930643637
699	0.1930032322
700	0.1929875
701	0.1929318076
702	0.1928720217
703	0.1928402449
704	0.1927956094
705	0.1927647442
706	0.1927058342
707	0.1926626209
708	0.1925990428
709	0.1925569296
710	0.1925272468
711	0.192463773
712	0.1924459388
713	0.192427188
714	0.1924122822
715	0.1924036006
716	0.1923584656
717	0.1923507662
718	0.1922926876
719	0.192268006
720	0.1921754707
721	0.1921443066
722	0.1921239575
723	0.1921056213
724	0.192072284
725	0.1920260109
726	0.1919743898
727	0.1919453853
728	0.191905118
729	0.1918700578
730	0.1918619099
731	0.1918326752
732	0.1918213592
733	0.1917831502
734	0.1917495367
735	0.1917332083
736	0.1916620739
737	0.1916059312
738	0.1915796828
739	0.1915493523
740	0.1915313285
741	0.1914735236
742	0.1914190304
743	0.1913896687
744	0.1913480548
745	0.1913127408
746	0.19127367
747	0.1912349016
748	0.1911790411
749	0.1911591249
750	0.1911125122
751	0.191087218
752	0.1910720826
753	0.1910068846
754	0.1909500132
755	0.1909173979
756	0.1908812796
757	0.1908261901
758	0.190799161
759	0.1907806035
760	0.1907334184
761	0.1906886151
762	0.190620895
763	0.1905580457
764	0.1905072873
765	0.1904433125
766	0.1904076265
767	0.1903532218
768	0.1903174427
769	0.1902677727
770	0.1902348864
771	0.1902279757
772	0.1902028491
773	0.1901376644
774	0.1901165195
775	0.1900725814
776	0.1900441364
777	0.1900175477
778	0.1899773433
779	0.1899385312
780	0.1898997803
781	0.1898700441
782	0.1898352765
783	0.1897572287
784	0.1897023654
785	0.1896359766
786	0.189596072
787	0.1895463022
788	0.1894910644
789	0.189437233
790	0.1893994447
791	0.189372736
792	0.1893272713
793	0.1892815418
794	0.189205402
795	0.189156795
796	0.1891230573
797	0.189086951
798	0.189049894
799	0.189003232
800	0.1889487059
801	0.1889061932
802	0.1888443397
803	0.1888168837
804	0.1887681915
805	0.1887274848
806	0.1887045724
807	0.1886771462
808	0.1886414211
809	0.1886134908
810	0.1885523029
811	0.1885081367
812	0.1884687251
813	0.1884245819
814	0.1883472316
815	0.1883119455
816	0.1882654155
817	0.1882110475
818	0.1881648818
819	0.1881162115
820	0.1880634202
821	0.1879915109
822	0.1879358099
823	0.1878800803
824	0.1878232168
825	0.1878040205
826	0.1877612444
827	0.1876990798
828	0.1876206582
829	0.187586457
830	0.1875520257
831	0.1874951506
832	0.1874705815
833	0.1874453186
834	0.1874000637
835	0.1873929518
836	0.1873315362
837	0.1873007686
838	0.1872591176
839	0.1872046807
840	0.1871595377
841	0.1871394363
842	0.1870765661
843	0.1870572079
844	0.1870396888
845	0.1870046265
846	0.1869541682
847	0.1868968629
848	0.1868528493
849	0.1868116895
850	0.1867645437
851	0.1867121798
852	0.1866517532
853	0.1866102776
854	0.1865810154
855	0.186545086
856	0.1864986194
857	0.1864711282
858	0.1864299714
859	0.1863871851
860	0.1863340151
861	0.1862837104
862	0.1862322774
863	0.1861961943
864	0.1861410968
865	0.1860874597
866	0.1860436442
867	0.1860024982
868	0.1859692665
869	0.1859180521
870	0.1858954763
871	0.1858485828
872	0.1857944714
873	0.1857476932
874	0.1857205353
875	0.1856802805
876	0.1856402737
877	0.1856355242
878	0.1855869884
879	0.1854923311
880	0.1854553816
881	0.1854123625
882	0.1853789475
883	0.1853346377
884	0.185295761
885	0.1852484033
886	0.1852032833
887	0.185163664
888	0.1850941688
889	0.1850516646
890	0.1850065441
891	0.184939016
892	0.1849204138
893	0.1848709534
894	0.1848325261
895	0.1847701623
896	0.1847567954
897	0.1847379037
898	0.1847194455
899	0.1846808102
900	0.1846680556
901	0.1846390423
902	0.1846266105
903	0.1845783808
904	0.1845707328
905	0.1845291202
906	0.1844809609
907	0.1844800251
908	0.1844203855
909	0.1843534316
910	0.1843332249
911	0.1842753648
912	0.184226716
913	0.1841810806
914	0.184115592
915	0.1840841076
916	0.1840684033
917	0.184034586
918	0.1839668837
919	0.1839357996
920	0.1838953989
921	0.1838828112
922	0.1838499466
923	0.1838084036
924	0.1837488325
925	0.1836603552
926	0.1836275749
927	0.1835988028
928	0.1835930847
929	0.183538847
930	0.1834981685
931	0.18346391
932	0.1833926848
933	0.1833485782
934	0.1833449073
935	0.1833109571
936	0.1832888058
937	0.1832536967
938	0.1832187175
939	0.1831568617
940	0.1831278066
941	0.1830711548
942	0.1830313616
943	0.1829908894
944	0.1829640141
945	0.1829291564
946	0.1829250491
947	0.1828733021
948	0.1828490724
949	0.1828109623
950	0.1827570274
951	0.1827299632
952	0.1827155628
953	0.1826717749
954	0.1826152359
955	0.1825639613
956	0.1825246549
957	0.1824985955
958	0.1824341222
959	0.1823981778
960	0.1823704923
961	0.1823260422
962	0.1822906899
963	0.1822838659
964	0.1822410458
965	0.1821970758
966	0.1821576153
967	0.1821124527
968	0.1820706251
969	0.1820221583
970	0.181965094
971	0.1819336854
972	0.1819289807
973	0.181879569
974	0.1818172053
975	0.1818045769
976	0.1817963395
977	0.1817631186
978	0.1817132408
979	0.18171266
980	0.181664187
981	0.181640607
982	0.1816089017
983	0.1816043496
984	0.1815679253
985	0.181521069
986	0.1814674956
987	0.1814624218
988	0.1814072192
989	0.1814066855
990	0.181352004
991	0.1813085391
992	0.1813079039
993	0.1812540761
994	0.1812533606
995	0.1811984166
996	0.1811369562
997	0.1810914644
998	0.1810344297
999	0.181011359
